City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Berdigestyakh,RU,2022-01-25 23:51:55,62.0989,126.6992,-16.94,98,100,5.53
220,Talisay,PH,2022-01-25 23:51:55,10.2447,123.8494,78.82,89,75,4.61
221,Karratha,AU,2022-01-25 23:51:56,-20.7377,116.8463,84.09,69,0,8.75
222,Karlovac,HR,2022-01-25 23:51:56,45.4872,15.5478,28.15,92,5,1.48
223,Nouadhibou,MR,2022-01-25 23:51:57,20.931,-17.0347,65.48,82,64,20.36
224,Buenaventura,CO,2022-01-25 23:50:01,3.8801,-77.0312,74.84,91,100,5.39
225,Anshun,CN,2022-01-25 23:51:57,26.25,105.9333,48.45,94,100,12.88
226,Vardo,NO,2022-01-25 23:51:58,70.3705,31.1107,26.8,72,42,24.87
227,Narsaq,GL,2022-01-25 23:51:59,60.9167,-46.05,20.75,84,100,9.22
228,Zyryanka,RU,2022-01-25 23:51:59,65.75,150.85,-37.19,100,96,6.17
229,Nioro,GM,2022-01-25 23:52:00,13.35,-15.75,82.26,8,100,8.75
230,Lucea,JM,2022-01-25 23:52:00,18.451,-78.1736,80.46,78,40,5.53
231,Farafangana,MG,2022-01-25 23:52:01,-22.8167,47.8333,73.78,75,83,5.03
232,Katsuura,JP,2022-01-25 23:53:01,35.1333,140.3,43.2,92,99,15.68
233,Cuamba,MZ,2022-01-25 23:53:01,-14.8031,36.5372,67.51,99,99,5.37
234,Georgetown,MY,2022-01-25 23:53:02,5.4112,100.3354,80.53,93,20,1.99
235,Catuday,PH,2022-01-25 23:53:03,16.2923,119.8062,77.74,69,91,10.96
236,Scarborough,GB,2022-01-25 23:53:03,54.2797,-0.4044,40.33,91,68,1.99
237,Inta,RU,2022-01-25 23:53:04,66.0317,60.1659,18.81,84,100,19.8
238,Payson,US,2022-01-25 23:51:54,40.0444,-111.7321,39.25,68,40,5.75
239,Dandong,CN,2022-01-25 23:50:21,40.1292,124.3947,21.07,57,0,6.15
240,Moissac,FR,2022-01-25 23:53:05,44.1024,1.0945,43.48,83,0,2.71
241,Talakan,RU,2022-01-25 23:53:05,50.3167,130.3667,-9.49,99,99,1.57
242,Sorland,NO,2022-01-25 23:53:05,67.667,12.6934,37.24,98,100,29.04
243,Merke,KZ,2022-01-25 23:53:06,42.8728,73.1786,27.37,65,72,4.0
244,Chuy,UY,2022-01-25 23:53:06,-33.6971,-53.4616,75.67,93,100,6.55
245,At-Bashi,KG,2022-01-25 23:53:07,41.1702,75.8106,-8.46,71,12,2.44
246,Half Moon Bay,US,2022-01-25 23:53:07,37.4636,-122.4286,67.05,70,0,1.99
247,Vesoul,FR,2022-01-25 23:53:07,47.5833,5.8333,30.15,85,0,1.07
248,Jaru,BR,2022-01-25 23:49:23,-10.4389,-62.4664,75.42,90,97,2.15
249,Serrinha,BR,2022-01-25 23:53:08,-11.6642,-39.0075,72.54,84,87,9.55
250,Ust-Kuyga,RU,2022-01-25 23:53:08,70.0167,135.6,-21.3,100,99,7.74
251,Kpandae,GH,2022-01-25 23:53:09,8.4689,-0.0113,75.92,15,2,7.43
252,Rio Grande,BR,2022-01-25 23:53:09,-32.035,-52.0986,81.95,88,3,9.82
253,Victoria,HK,2022-01-25 23:50:32,22.2855,114.1577,66.18,90,98,1.01
254,Cap-Aux-Meules,CA,2022-01-25 23:53:10,47.3821,-61.8597,30.25,100,100,18.41
255,Hervey Bay,AU,2022-01-25 23:53:10,-25.2986,152.8535,86.04,70,86,3.0
256,Terrace,CA,2022-01-25 23:51:42,54.5163,-128.6035,40.42,100,40,4.61
257,Biltine,TD,2022-01-25 23:53:11,14.5333,20.9167,67.37,19,31,9.17
258,Leningradskiy,RU,2022-01-25 23:53:11,69.3833,178.4167,-26.55,86,47,4.94
259,Grand Gaube,MU,2022-01-25 23:53:12,-20.0064,57.6608,75.6,75,53,4.0
260,Mayya,RU,2022-01-25 23:53:12,61.7333,130.2811,-20.88,98,100,6.33
261,Kamenka,RU,2022-01-25 23:53:13,51.3223,42.7678,4.26,99,91,5.68
262,Robertsport,LR,2022-01-25 23:53:13,6.7533,-11.3686,79.83,81,1,7.74
263,Veraval,IN,2022-01-25 23:53:13,20.9,70.3667,59.97,46,1,12.17
264,Tekeli,KZ,2022-01-25 23:53:14,44.83,78.8239,11.43,74,67,8.81
265,Joshimath,IN,2022-01-25 23:53:15,30.5667,79.5667,29.05,59,49,7.45
266,Mitsamiouli,KM,2022-01-25 23:53:15,-11.3847,43.2844,81.27,75,100,10.29
267,Kisesa,TZ,2022-01-25 23:53:15,-3.0833,34.15,62.65,92,82,6.29
268,Noumea,NC,2022-01-25 23:53:16,-22.2763,166.4572,85.98,99,46,7.96
269,Kizukuri,JP,2022-01-25 23:53:16,40.8061,140.3861,34.11,58,100,2.95
270,Isangel,VU,2022-01-25 23:49:14,-19.55,169.2667,85.51,70,14,5.97
271,Keti Bandar,PK,2022-01-25 23:53:17,24.1447,67.4497,64.51,47,0,7.18
272,Santa Rosalia,MX,2022-01-25 23:53:17,27.3167,-112.2833,67.41,37,82,0.85
273,Cidreira,BR,2022-01-25 23:53:18,-30.1811,-50.2056,77.56,85,33,16.51
274,Grafton,US,2022-01-25 23:54:18,42.207,-71.6856,34.63,62,94,1.01
275,Aripuana,BR,2022-01-25 23:49:45,-9.1667,-60.6333,73.98,96,97,2.15
276,San Quintin,MX,2022-01-25 23:54:19,30.4833,-115.95,59.4,70,44,6.78
277,Ortona,IT,2022-01-25 23:54:19,42.3496,14.4039,38.28,53,1,4.23
278,Bandarbeyla,SO,2022-01-25 23:54:19,9.4942,50.8122,73.35,65,1,18.43
279,Boke,GN,2022-01-25 23:54:20,10.9409,-14.2967,70.56,74,62,1.45
280,Galveston,US,2022-01-25 23:54:21,29.3669,-94.9669,58.17,83,99,1.01
281,Comodoro Rivadavia,AR,2022-01-25 23:54:21,-45.8667,-67.5,60.66,63,0,11.5
282,Buraydah,SA,2022-01-25 23:54:22,26.326,43.975,54.05,43,0,9.71
283,Kaitangata,NZ,2022-01-25 23:49:46,-46.2817,169.8464,55.26,88,69,7.76
284,Manzil Salim,TN,2022-01-25 23:54:22,35.8567,8.4765,37.4,88,13,0.89
285,Batagay,RU,2022-01-25 23:54:23,67.6333,134.6333,-18.81,98,100,3.67
286,Virginia Beach,US,2022-01-25 23:52:41,36.8529,-75.978,46.45,73,75,4.61
287,Juba,SS,2022-01-25 23:54:23,4.8517,31.5825,78.87,28,52,3.0
288,Thinadhoo,MV,2022-01-25 23:54:24,0.5333,72.9333,80.6,66,90,14.79
289,Tuatapere,NZ,2022-01-25 23:54:24,-46.1333,167.6833,53.82,90,100,5.93
290,Valentin Gomez Farias,MX,2022-01-25 23:54:25,28.2167,-106.5833,61.59,17,28,9.35
291,Mandalgovi,MN,2022-01-25 23:54:25,45.7625,106.2708,-3.32,85,0,5.35
292,Zaysan,KZ,2022-01-25 23:54:26,47.4667,84.8667,-9.56,84,63,2.98
293,Manadhoo,MV,2022-01-25 23:54:26,5.7667,73.3833,79.79,63,99,9.78
